PMID	title	year	journal	authors
10515926	Growth phase-dependent variation in protein composition of the Escherichia coli nucleoid.	1999	J Bacteriol	Ali Azam T, Iwata A, Nishimura A, Ueda S, Ishihama A
10551881	Twelve species of the nucleoid-associated protein from Escherichia coli. Sequence recognition specificity and DNA binding affinity.	1999	J Biol Chem	Azam TA, Ishihama A
10628873	Growth phase-dependent regulation of nuoA-N expression in Escherichia coli K-12 by the Fis protein: upstream binding sites and bioenergetic significance.	1999	Mol Gen Genet	Wackwitz B, Bongaerts J, Goodman SD, Unden G
10760155	Identification of additional genes belonging to the LexA regulon in Escherichia coli.	2000	Mol Microbiol	Fernández De Henestrosa AR, Ogi T, Aoyagi S, Chafin D, Hayes JJ, Ohmori H, Woodgate R
10766858	Transcriptional regulation of the divergent paa catabolic operons for phenylacetic acid degradation in Escherichia coli.	2000	J Biol Chem	Ferrández A, García JL, Díaz E
10775270	A small protein that mediates the activation of a two-component system by another two-component system.	2000	EMBO J	Kox LF, Wösten MM, Groisman EA
10972807	The gcvB gene encodes a small untranslated RNA involved in expression of the dipeptide and oligopeptide transport systems in Escherichia coli.	2000	Mol Microbiol	Urbanowski ML, Stauffer LT, Stauffer GV
11527707	The mechanism of action of bacimethrin, a naturally occurring thiamin antimetabolite.	2001	Bioorg Med Chem Lett	Reddick JJ, Saha S, Lee J, Melnick JS, Perkins J, Begley TP
11997136	Interaction of purified NDH-1 from Escherichia coli with ubiquinone analogues.	2002	Biochim Biophys Acta	David P, Baumann M, Wikström M, Finel M
12518017	The application of computational methods to explore the diversity and structure of bacterial fatty acid synthase.	2003	J Lipid Res	Zhang YM, Marrakchi H, White SW, Rock CO
12846838	Functional genomics by NMR spectroscopy. Phenylacetate catabolism in Escherichia coli.	2003	Eur J Biochem	Ismail W, El-Said Mohamed M, Wanner BL, Datsenko KA, Eisenreich W, Rohdich F, Bacher A, Fuchs G
14730982	A pair of membrane-embedded acidic residues in the NuoK subunit of Escherichia coli NDH-1, a counterpart of the ND4L subunit of the mitochondrial complex I, are required for high ubiquinone reductase activity.	2004	Biochemistry	Kervinen M, Pätsi J, Finel M, Hassinen IE
15158258	Effect of a pyruvate kinase (pykF-gene) knockout mutation on the control of gene expression and metabolic fluxes in Escherichia coli.	2004	FEMS Microbiol Lett	Siddiquee KA, Arauzo-Bravo MJ, Shimizu K
15308657	Repair of oxidized iron-sulfur clusters in Escherichia coli.	2004	J Biol Chem	Djaman O, Outten FW, Imlay JA
15450413	RecN and RecG are required for Escherichia coli survival of Bleomycin-induced damage.	2004	Mutat Res	Kosa JL, Zdraveski ZZ, Currier S, Marinus MG, Essigmann JM
15596728	Association of RNA polymerase with transcribed regions in Escherichia coli.	2004	Proc Natl Acad Sci U S A	Wade JT, Struhl K
15752189	Maturation of the Escherichia coli divisome occurs in two steps.	2005	Mol Microbiol	Aarsman ME, Piette A, Fraipont C, Vinkenvleugel TM, Nguyen-Distèche M, den Blaauwen T
16135227	Transposition is modulated by a diverse set of host factors in Escherichia coli and is stimulated by nutritional stress.	2005	Mol Microbiol	Twiss E, Coros AM, Tavakoli NP, Derbyshire KM
16208378	Direct observation of steps in rotation of the bacterial flagellar motor.	2005	Nature	Sowa Y, Rowe AD, Leake MC, Yakushi T, Homma M, Ishijima A, Berry RM
16377617	A reassessment of the FNR regulon and transcriptomic analysis of the effects of nitrate, nitrite, NarXL, and NarQP as Escherichia coli K12 adapts from aerobic to anaerobic growth.	2006	J Biol Chem	Constantinidou C, Hobman JL, Griffiths L, Patel MD, Penn CW, Cole JA, Overton TW
17216401	Maturation of [NiFe]-hydrogenases in Escherichia coli.	2007	Biometals	Forzi L, Sawers RG
17496099	NrdR controls differential expression of the Escherichia coli ribonucleotide reductase genes.	2007	J Bacteriol	Torrents E, Grinberg I, Gorovitz-Harris B, Lundström H, Borovok I, Aharonowitz Y, Sjöberg BM, Cohen G
20128927	Escherichia coli genes that reduce the lethal effects of stress.	2010	BMC Microbiol	Han X, Dorsey-Oresto A, Malik M, Wang JY, Drlica K, Zhao X, Lu T
1335942	Molecular genetic studies of a 10.9-kb operon in Escherichia coli for phosphonate uptake and biodegradation.	1992	FEMS Microbiol Lett	Wanner BL, Metcalf WW
1577693	Genetic analysis of the genes involved in synthesis of the lipopolysaccharide core in Escherichia coli K-12: three operons in the rfa locus.	1992	J Bacteriol	Roncero C, Casadaban MJ
1594581	Mass determination and estimation of subunit stoichiometry of the bacterial hook-basal body flagellar complex of Salmonella typhimurium by scanning transmission electron microscopy.	1992	Proc Natl Acad Sci U S A	Sosinsky GE, Francis NR, DeRosier DJ, Wall JS, Simon MN, Hainfeld J
1719217	Mutations in the MotA protein of Escherichia coli reveal domains critical for proton conduction.	1991	J Mol Biol	Blair DF, Berg HC
2181149	Stoichiometric analysis of the flagellar hook-(basal-body) complex of Salmonella typhimurium.	1990	J Mol Biol	Jones CJ, Macnab RM, Okino H, Aizawa S
2265756	Genomic replacement in Escherichia coli K-12 using covalently closed circular plasmid DNA.	1990	Gene	Oden KL, DeVeaux LC, Vibat CR, Cronan JE, Gennis RB
2404765	Autoregulation of PurR repressor synthesis and involvement of purR in the regulation of purB, purC, purL, purMN and guaBA expression in Escherichia coli.	1990	Eur J Biochem	Meng LM, Kilstrup M, Nygaard P
2447650	Bacterial motility: membrane topology of the Escherichia coli MotB protein.	1988	Science	Chun SY, Parkinson JS
3050128	Effects of mot gene expression on the structure of the flagellar motor.	1988	J Mol Biol	Khan S, Dapice M, Reese TS
3536867	Genetic evidence for a switching and energy-transducing complex in the flagellar motor of Salmonella typhimurium.	1986	J Bacteriol	Yamaguchi S, Aizawa S, Kihara M, Isomura M, Jones CJ, Macnab RM
7491673	Liposomal cyclosporine. Comparison of drug and lipid carrier pharmacokinetics and biodistribution.	1995	Transplantation	Choice E, Masin D, Bally MB, Meloche M, Madden TD
7607227	Isolation and characterization of the proton-translocating NADH: ubiquinone oxidoreductase from Escherichia coli.	1995	Eur J Biochem	Leif H, Sled VD, Ohnishi T, Weiss H, Friedrich T
7643400	Membrane topology of the MotA protein of Escherichia coli.	1995	J Mol Biol	Zhou J, Fazzio RT, Blair DF
7690854	The gene locus of the proton-translocating NADH: ubiquinone oxidoreductase in Escherichia coli. Organization of the 14 genes and relationship between the derived proteins and subunits of mitochondrial complex I.	1993	J Mol Biol	Weidner U, Geier S, Ptock A, Friedrich T, Leif H, Weiss H
7730262	Transcriptional control of the nuo operon which encodes the energy-conserving NADH dehydrogenase of Salmonella typhimurium.	1995	J Bacteriol	Archer CD, Elliott T
7892209	Motility protein interactions in the bacterial flagellar motor.	1995	Proc Natl Acad Sci U S A	Garza AG, Harris-Haller LW, Stoebner RA, Manson MD
8132107	Escherichia coli NADH dehydrogenase I, a minimal form of the mitochondrial complex I.	1993	Biochem Soc Trans	Leif H, Weidner U, Berger A, Spehr V, Braun M, van Heek P, Friedrich T, Ohnishi T, Weiss H
8226714	Attempts to define distinct parts of NADH:ubiquinone oxidoreductase (complex I).	1993	J Bioenerg Biomembr	Friedrich T, Weidner U, Nehls U, Fecke W, Schneider R, Weiss H
8366049	Escherichia coli mutants lacking NADH dehydrogenase I have a competitive disadvantage in stationary phase.	1993	J Bacteriol	Zambrano MM, Kolter R
8388873	Mutational analysis of an Escherichia coli fourteen-gene operon for phosphonate degradation, using TnphoA' elements.	1993	J Bacteriol	Metcalf WW, Wanner BL
8568890	Geometry of the flagellar motor in the cytoplasmic membrane of Salmonella typhimurium as determined by stereo-photogrammetry of quick-freeze deep-etch replica images.	1996	J Mol Biol	Katayama E, Shiraishi T, Oosawa K, Baba N, Aizawa S
8627625	Mutations in motB suppressible by changes in stator or rotor components of the bacterial flagellar motor.	1996	J Mol Biol	Garza AG, Biran R, Wohlschlegel JA, Manson MD
8757288	Motility protein complexes in the bacterial flagellar motor.	1996	J Mol Biol	Tang H, Braun TF, Blair DF
8892808	Extragenic suppression of motA missense mutations of Escherichia coli.	1996	J Bacteriol	Garza AG, Bronstein PA, Valdez PA, Harris-Haller LW, Manson MD
9485311	Characterization of the overproduced NADH dehydrogenase fragment of the NADH:ubiquinone oxidoreductase (complex I) from Escherichia coli.	1998	Biochemistry	Braun M, Bungert S, Friedrich T
9495756	Genetic analysis of the nuo locus, which encodes the proton-translocating NADH dehydrogenase in Escherichia coli.	1998	J Bacteriol	Falk-Krzesinski HJ, Wolfe AJ
9514725	Consistent structure between bacterial and mitochondrial NADH:ubiquinone oxidoreductase (complex I).	1998	J Mol Biol	Guénebaut V, Schlitt A, Weiss H, Leonard K, Friedrich T
9573160	Function of protonatable residues in the flagellar motor of Escherichia coli: a critical role for Asp 32 of MotB.	1998	J Bacteriol	Zhou J, Sharp LL, Tang HL, Lloyd SA, Billings S, Braun TF, Blair DF
9593861	The NADH:ubiquinone oxidoreductase (complex I) from Escherichia coli.	1998	Biochim Biophys Acta	Friedrich T
9593887	Iron-sulfur clusters/semiquinones in complex I.	1998	Biochim Biophys Acta	Ohnishi T
9600984	Electrostatic interactions between rotor and stator in the bacterial flagellar motor.	1998	Proc Natl Acad Sci U S A	Zhou J, Lloyd SA, Blair DF
10049798	A structural feature in the central channel of the bacterial flagellar FliF ring complex is implicated in type III protein export.	1998	J Struct Biol	Suzuki H, Yonekura K, Murata K, Hirai T, Oosawa K, Namba K
10383966	Escherichia coli mutants lacking all possible combinations of eight penicillin binding proteins: viability, characteristics, and implications for peptidoglycan synthesis.	1999	J Bacteriol	Denome SA, Elf PK, Henderson TA, Nelson DE, Young KD
10468575	Rotational symmetry of the C ring and a mechanism for the flagellar rotary motor.	1999	Proc Natl Acad Sci U S A	Thomas DR, Morgan DG, DeRosier DJ
10544236	One-step purification of the NADH dehydrogenase fragment of the Escherichia coli complex I by means of Strep-tag affinity chromatography.	1999	FEBS Lett	Bungert S, Krafft B, Schlesinger R, Friedrich T
10587449	Overexpression of the Escherichia coli nuo-operon and isolation of the overproduced NADH:ubiquinone oxidoreductase (complex I).	1999	Biochemistry	Spehr V, Schlitt A, Scheide D, Guénebaut V, Friedrich T
10637328	The genes encoding endonuclease VIII and endonuclease III in Escherichia coli are transcribed as the terminal genes in operons.	2000	Nucleic Acids Res	Gifford CM, Wallace SS
10809679	Interaction between FliE and FlgB, a proximal rod component of the flagellar basal body of Salmonella.	2000	J Bacteriol	Minamino T, Yamaguchi S, Macnab RM
10940377	The respiratory complex I of bacteria, archaea and eukarya and its module common with membrane-bound multisubunit hydrogenases.	2000	FEBS Lett	Friedrich T, Scheide D
11051763	Protein traffic in bacteria: multiple routes from the ribosome to and across the membrane.	2001	Prog Nucleic Acid Res Mol Biol	Müller M, Koch HG, Beck K, Schäfer U
11489118	Evolution of a molecular switch: universal bacterial GTPases regulate ribosome function.	2001	Mol Microbiol	Caldon CE, Yoong P, March PE
11695826	Complex I: a chimaera of a redox and conformation-driven proton pump?	2001	J Bioenerg Biomembr	Friedrich T
11867724	Rapid topology mapping of Escherichia coli inner-membrane proteins by prediction and PhoA/GFP fusion analysis.	2002	Proc Natl Acad Sci U S A	Drew D, Sjöstrand D, Nilsson J, Urbig T, Chin CN, de Gier JW, von Heijne G
11880370	A novel, enzymatically active conformation of the Escherichia coli NADH:ubiquinone oxidoreductase (complex I).	2002	J Biol Chem	Böttcher B, Scheide D, Hesterberg M, Nagel-Steger L, Friedrich T
12591880	Role of the cytoplasmic C terminus of the FliF motor protein in flagellar assembly and rotation.	2003	J Bacteriol	Grünenfelder B, Gehrig S, Jenal U
12600193	The proton-translocating NADH-quinone oxidoreductase in the respiratory chain: the secret unlocked.	2003	Biochemistry	Yagi T, Matsuno-Yagi A
12700251	Chaperone-subunit-usher interactions required for donor strand exchange during bacterial pilus assembly.	2003	J Bacteriol	Barnhart MM, Sauer FG, Pinkner JS, Hultgren SJ
12730198	The ubiquinone-binding site in NADH:ubiquinone oxidoreductase from Escherichia coli.	2003	J Biol Chem	Gong X, Xie T, Yu L, Hesterberg M, Scheide D, Friedrich T, Yu CA
12730325	How bacteria assemble flagella.	2003	Annu Rev Microbiol	Macnab RM
12740360	The C-terminally truncated NuoL subunit (ND5 homologue) of the Na+-dependent complex I from Escherichia coli transports Na+.	2003	J Biol Chem	Steuber J
12818201	Statistical models for discerning protein structures containing the DNA-binding helix-turn-helix motif.	2003	J Mol Biol	McLaughlin WA, Berman HM
12900013	New members of the Escherichia coli sigmaE regulon identified by a two-plasmid system.	2003	FEMS Microbiol Lett	Rezuchova B, Miticka H, Homerova D, Roberts M, Kormanec J
12914007	Bacterial shape.	2003	Mol Microbiol	Young KD
12923180	The location of NuoL and NuoM subunits in the membrane domain of the Escherichia coli complex I: implications for the mechanism of proton pumping.	2003	J Biol Chem	Holt PJ, Morgan DJ, Sazanov LA
12940994	A subset of bacterial inner membrane proteins integrated by the twin-arginine translocase.	2003	Mol Microbiol	Hatzixanthis K, Palmer T, Sargent F
12959196	Folding chromosomes in bacteria: examining the role of Csp proteins and other small nucleic acid-binding proteins.	2003	Curr Top Dev Biol	Trun N, Johnston D
13129938	Experimental determination and system level analysis of essential genes in Escherichia coli MG1655.	2003	J Bacteriol	Gerdes SY, Scholle MD, Campbell JW, Balázsi G, Ravasz E, Daugherty MD, Somera AL, Kyrpides NC, Anderson I, Gelfand MS, Bhattacharya A, Kapatral V, D'Souza M, Baev MV, Grechkin Y, Mseeh F, Fonstein MY, Overbeek R, Barabási AL, Oltvai ZN, Osterman AL
14705929	Arrangement of core membrane segments in the MotA/MotB proton-channel complex of Escherichia coli.	2004	Biochemistry	Braun TF, Al-Mawsawi LQ, Kojima S, Blair DF
14726535	In vivo substrate specificity of periplasmic disulfide oxidoreductases.	2004	J Biol Chem	Hiniker A, Bardwell JC
14741580	The gross structure of the respiratory complex I: a Lego System.	2004	Biochim Biophys Acta	Friedrich T, Böttcher B
14970214	The Escherichia coli NADH:ubiquinone oxidoreductase (complex I) is a primary proton pump but may be capable of secondary sodium antiport.	2004	J Biol Chem	Stolpe S, Friedrich T
15001355	Structure of the rotor of the bacterial flagellar motor revealed by electron cryomicroscopy and single-particle image analysis.	2004	J Mol Biol	Suzuki H, Yonekura K, Namba K
15136044	In vitro characterization of FlgB, FlgC, FlgF, FlgG, and FliE, flagellar basal body proteins of Salmonella.	2004	J Mol Biol	Saijo-Hamano Y, Uchida N, Namba K, Oosawa K
15225314	Involvement of two domains with helix-turn-helix and zinc finger motifs in the binding of IS1 transposase to terminal inverted repeats.	2004	Mol Microbiol	Ohta S, Yoshimura E, Ohtsubo E
15489429	SigmaS-dependent gene expression at the onset of stationary phase in Escherichia coli: function of sigmaS-dependent genes and identification of their promoter sequences.	2004	J Bacteriol	Lacour S, Landini P
15736965	Characterization of the membrane domain subunit NuoJ (ND6) of the NADH-quinone oxidoreductase from Escherichia coli by chromosomal DNA manipulation.	2005	Biochemistry	Kao MC, Di Bernardo S, Nakamaru-Ogiso E, Miyoshi H, Matsuno-Yagi A, Yagi T
15898075	Identification of genes affecting lycopene accumulation in Escherichia coli using a shot-gun method.	2005	Biotechnol Bioeng	Kang MJ, Lee YM, Yoon SH, Kim JH, Ock SW, Jung KH, Shin YC, Keasling JD, Kim SW
15938640	Activation of isolated NADH:ubiquinone reductase I (complex I) from Escherichia coli by detergent and phospholipids. Recovery of ubiquinone reductase activity and changes in EPR signals of iron-sulfur clusters.	2005	Biochemistry	Sinegina L, Wikström M, Verkhovsky MI, Verkhovskaya ML
15996109	Characterization of the membrane domain subunit NuoK (ND4L) of the NADH-quinone oxidoreductase from Escherichia coli.	2005	Biochemistry	Kao MC, Nakamaru-Ogiso E, Matsuno-Yagi A, Yagi T
16051146	Proteome-wide analysis of chaperonin-dependent protein folding in Escherichia coli.	2005	Cell	Kerner MJ, Naylor DJ, Ishihama Y, Maier T, Chang HC, Stines AP, Georgopoulos C, Frishman D, Hayer-Hartl M, Mann M, Hartl FU
16166532	TolC is involved in enterobactin efflux across the outer membrane of Escherichia coli.	2005	J Bacteriol	Bleuel C, Grosse C, Taudte N, Scherer J, Wesenberg D, Krauss GJ, Nies DH, Grass G
16378245	The Nudix hydrolase superfamily.	2006	Cell Mol Life Sci	McLennan AG
16452430	Roles of charged residues of rotor and stator in flagellar rotation: comparative study using H+-driven and Na+-driven motors in Escherichia coli.	2006	J Bacteriol	Yakushi T, Yang J, Fukuoka H, Homma M, Blair DF
16698936	The maximum number of torque-generating units in the flagellar motor of Escherichia coli is at least 11.	2006	Proc Natl Acad Sci U S A	Reid SW, Leake MC, Chandler JH, Lo CJ, Armitage JP, Berry RM
16750836	A kinetic model of oxygen regulation of cytochrome production in Escherichia coli.	2006	J Theor Biol	Peercy BE, Cox SJ, Shalel-Levanon S, San KY, Bennett G
16887611	Ion exchange in facultative anaerobes: does a proton-potassium pump exist in anaerobic Escherichia Coli?	1997	Anaerobe	Trchounian A
16971952	Stoichiometry and turnover in single, functioning membrane protein complexes.	2006	Nature	Leake MC, Chandler JH, Wadhams GH, Bai F, Berry RM, Armitage JP
16979134	Construction of a deletion strain and expression vector for the Escherichia coli NADH:ubiquinone oxidoreductase (Complex I).	2006	Biochim Biophys Acta	Amarneh B, De Leon-Rangel J, Vik SB
17001682	The discovery of mRNA interferases: implication in bacterial physiology and application to biotechnology.	2006	J Cell Physiol	Inouye M
17026754	Oxygen limitation modulates pH regulation of catabolism and hydrogenases, multidrug transporters, and envelope composition in Escherichia coli K-12.	2006	BMC Microbiol	Hayes ET, Wilks JC, Sanfilippo P, Yohannes E, Tate DP, Jones BD, Radmacher MD, BonDurant SS, Slonczewski JL
17157874	Projection structure of the membrane domain of Escherichia coli respiratory complex I at 8 A resolution.	2007	J Mol Biol	Baranova EA, Holt PJ, Sazanov LA
17264113	Translational control and target recognition by Escherichia coli small RNAs in vivo.	2007	Nucleic Acids Res	Urban JH, Vogel J
17274631	Respiratory complex I: mechanistic and structural insights provided by the crystal structure of the hydrophilic domain.	2007	Biochemistry	Sazanov LA
17376733	RNA antitoxins.	2007	Curr Opin Microbiol	Gerdes K, Wagner EG
17511876	Indole is an inter-species biofilm signal mediated by SdiA.	2007	BMC Microbiol	Lee J, Jayaraman A, Wood TK
17583799	Transport of Na(+) and K (+) by an antiporter-related subunit from the Escherichia coli NADH dehydrogenase I produced in Saccharomyces cerevisiae.	2007	Arch Microbiol	Gemperli AC, Schaffitzel C, Jakob C, Steuber J
17895580	A role of RnlA in the RNase LS activity from Escherichia coli.	2007	Genes Genet Syst	Otsuka Y, Koga M, Iwamoto A, Yonesaki T
17977822	Characterization of the NuoM (ND4) subunit in Escherichia coli NDH-1: conserved charged residues essential for energy-coupled activities.	2007	J Biol Chem	Torres-Bacete J, Nakamaru-Ogiso E, Matsuno-Yagi A, Yagi T
18302792	Rapid acid treatment of Escherichia coli: transcriptomic response and recovery.	2008	BMC Microbiol	Kannan G, Wilks JC, Fitzgerald DM, Jones BD, Bondurant SS, Slonczewski JL
18394423	Assembly of the Escherichia coli NADH:ubiquinone oxidoreductase (complex I).	2008	Biochim Biophys Acta	Schneider D, Pohl T, Walter J, Dörner K, Kohlstädt M, Berger A, Spehr V, Friedrich T
18433710	Three-dimensional structure of respiratory complex I from Escherichia coli in ice in the presence of nucleotides.	2008	Biochim Biophys Acta	Morgan DJ, Sazanov LA
18535144	How bacteria consume their own exoskeletons (turnover and recycling of cell wall peptidoglycan).	2008	Microbiol Mol Biol Rev	Park JT, Uehara T
19880597	Inefficient Tat-dependent export of periplasmic amidases in an Escherichia coli strain with mutations in two DedA family genes.	2010	J Bacteriol	Sikdar R, Doerrler WT
22063474	Disruption of individual nuo-genes leads to the formation of partially assembled NADH:ubiquinone oxidoreductase (complex I) in Escherichia coli.	2012	Biochim Biophys Acta	Erhardt H, Steimle S, Muders V, Pohl T, Walter J, Friedrich T
1310794	Escherichia coli DNA helicases: mechanisms of DNA unwinding.	1992	Mol Microbiol	Lohman TM
1847904	E. coli map. Physical map locations of genes encoding components of the aerobic respiratory chain of Escherichia coli.	1991	J Bacteriol	Calhoun MW, Newton G, Gennis RB
2201776	Precise mapping and comparison of two evolutionarily related regions of the Escherichia coli K-12 chromosome. Evolution of valU and lysT from an ancestral tRNA operon.	1990	J Mol Biol	Brun YV, Breton R, Lanouette P, Lapointe J
2461734	Assembly of the 30S subunit from Escherichia coli ribosomes occurs via two assembly domains which are initiated by S4 and S7.	1988	Biochemistry	Nowotny V, Nierhaus KH
3040734	The hisT-purF region of the Escherichia coli K-12 chromosome. Identification of additional genes of the hisT and purF operons.	1987	J Biol Chem	Nonet ML, Marvel CC, Tolan DR
6361486	Immunological studies of Escherichia coli mutants lacking one or two ribosomal proteins.	1983	Mol Gen Genet	Dabbs ER, Hasenbank R, Kastner B, Rak KH, Wartusch B, Stöffler G
6383359	Nucleotide sequence encoding the flavoprotein and hydrophobic subunits of the succinate dehydrogenase of Escherichia coli.	1984	Biochem J	Wood D, Darlison MG, Wilde RJ, Guest JR
7037196	Regulation of the S10 ribosomal protein operon in E. coli: nucleotide sequence at the start of the operon.	1981	Cell	Olins PO, Nomura M
8383113	Genetic and functional analysis of the multiple antibiotic resistance (mar) locus in Escherichia coli.	1993	J Bacteriol	Cohen SP, Hächler H, Levy SB
8389365	Methyl-directed mismatch repair is bidirectional.	1993	J Biol Chem	Cooper DL, Lahue RS, Modrich P
9079897	Effects of sigmaS and the transcriptional activator AppY on induction of the Escherichia coli hya and cbdAB-appA operons in response to carbon and phosphate starvation.	1997	J Bacteriol	Atlung T, Knudsen K, Heerfordt L, Brøndsted L
9274005	Is the ribulose monophosphate pathway widely distributed in bacteria?	1997	Microbiology (Reading)	Reizer J, Reizer A, Saier MH
9514256	Covalent attachment of flavin adenine dinucleotide (FAD) and flavin mononucleotide (FMN) to enzymes: the current state of affairs.	1998	Protein Sci	Mewies M, McIntire WS, Scrutton NS
9579078	The cadmium-stress stimulon of Escherichia coli K-12.	1998	Microbiology (Reading)	Ferianc P, Farewell A, Nyström T
9614971	Protein secretion in Escherichia coli K-12: dead or alive?	1998	Cell Mol Life Sci	Pugsley AP, Francetic O
9685491	Phosphoesterase domains associated with DNA polymerases of diverse origins.	1998	Nucleic Acids Res	Aravind L, Koonin EV
9864311	Convergent pathways for utilization of the amino sugars N-acetylglucosamine, N-acetylmannosamine, and N-acetylneuraminic acid by Escherichia coli.	1999	J Bacteriol	Plumbridge J, Vimr E
10515954	The modality of enterobacterial common antigen polysaccharide chain lengths is regulated by o349 of the wec gene cluster of Escherichia coli K-12.	1999	J Bacteriol	Barr K, Klena J, Rick PD
10601204	Genetic analysis of a chromosomal region containing genes required for assimilation of allantoin nitrogen and linked glyoxylate metabolism in Escherichia coli.	1999	J Bacteriol	Cusa E, Obradors N, Baldomà L, Badía J, Aguilar J
10913097	Role of the yiaR and yiaS genes of Escherichia coli in metabolism of endogenously formed L-xylulose.	2000	J Bacteriol	Ibañez E, Gimenez R, Pedraza T, Baldoma L, Aguilar J, Badia J
11603966	Hydroaromatic equilibration during biosynthesis of shikimic acid.	2001	J Am Chem Soc	Knop DR, Draths KM, Chandran SS, Barker JL, von Daeniken R, Weber W, Frost JW
11726509	Involvement of the twin-arginine translocation system in protein secretion via the type II pathway.	2001	EMBO J	Voulhoux R, Ball G, Ize B, Vasil ML, Lazdunski A, Wu LF, Filloux A
12057966	Toxic waste disposal in Escherichia coli.	2002	J Bacteriol	Helling RB, Janes BK, Kimball H, Tran T, Bundesmann M, Check P, Phelan D, Miller C
12150913	The DnaK chaperone system facilitates 30S ribosomal subunit assembly.	2002	Mol Cell	Maki JA, Schnobrich DJ, Culver GM
12694615	Regulatory network of acid resistance genes in Escherichia coli.	2003	Mol Microbiol	Masuda N, Church GM
12721369	Folding quality control in the export of proteins by the bacterial twin-arginine translocation pathway.	2003	Proc Natl Acad Sci U S A	DeLisa MP, Tullman D, Georgiou G
12754241	Type IV-like pili formed by the type II secreton: specificity, composition, bundling, polar localization, and surface presentation of peptides.	2003	J Bacteriol	Vignon G, Köhler R, Larquet E, Giroux S, Prévost MC, Roux P, Pugsley AP
12842468	Identification and characterization of the chaperone-subunit complex-binding domain from the type 1 pilus assembly platform FimD.	2003	J Mol Biol	Nishiyama M, Vetsch M, Puorger C, Jelesarov I, Glockshuber R
12923112	Role for Salmonella enterica enterobacterial common antigen in bile resistance and virulence.	2003	J Bacteriol	Ramos-Morales F, Prieto AI, Beuzón CR, Holden DW, Casadesús J
14523115	Transcriptional regulation of drug efflux genes by EvgAS, a two-component system in Escherichia coli.	2003	Microbiology (Reading)	Eguchi Y, Oshima T, Mori H, Aono R, Yamamoto K, Ishihama A, Utsumi R
15037611	Substrate-induced conformational change in bacterial complex I.	2004	J Biol Chem	Mamedova AA, Holt PJ, Carroll J, Sazanov LA
15104539	Proteomic response analysis of a threonine-overproducing mutant of Escherichia coli.	2004	Biochem J	Kim YH, Park JS, Cho JY, Cho KM, Park YH, Lee J
15126489	Genome-wide analysis of lipoprotein expression in Escherichia coli MG1655.	2004	J Bacteriol	Brokx SJ, Ellison M, Locke T, Bottorff D, Frost L, Weiner JH
15375374	The DNA repair helicase UvrD is essential for replication fork reversal in replication mutants.	2004	EMBO Rep	Flores MJ, Bidnenko V, Michel B
15496591	Interchangeability and distinct properties of bacterial Fe-S cluster assembly systems: functional replacement of the isc and suf operons in Escherichia coli with the nifSU-like operon from Helicobacter pylori.	2004	J Biochem	Tokumoto U, Kitamura S, Fukuyama K, Takahashi Y
15657047	A mathematical model for the branched chain amino acid biosynthetic pathways of Escherichia coli K12.	2005	J Biol Chem	Yang CR, Shapiro BE, Hung SP, Mjolsness ED, Hatfield GW
15944459	The TetR family of transcriptional repressors.	2005	Microbiol Mol Biol Rev	Ramos JL, Martínez-Bueno M, Molina-Henares AJ, Terán W, Watanabe K, Zhang X, Gallegos MT, Brennan R, Tobes R
16670432	Homologous recombination prevents methylation-induced toxicity in Escherichia coli.	2006	Nucleic Acids Res	Nowosielska A, Smith SA, Engelward BP, Marinus MG
16677309	Interactions between C ring proteins and export apparatus components: a possible mechanism for facilitating type III protein export.	2006	Mol Microbiol	González-Pedrajo B, Minamino T, Kihara M, Namba K
16828913	Transcriptome analysis of a shikimic acid producing strain of Escherichia coli W3110 grown under carbon- and phosphate-limited conditions.	2006	J Biotechnol	Johansson L, Lidén G
17068078	Non-canonical CRP sites control competence regulons in Escherichia coli and many other gamma-proteobacteria.	2006	Nucleic Acids Res	Cameron AD, Redfield RJ
18223071	Cyclic AMP-dependent catabolite repression is the dominant control mechanism of metabolic fluxes under glucose limitation in Escherichia coli.	2008	J Bacteriol	Nanchen A, Schicker A, Revelles O, Sauer U
18317523	Proteome-level responses of Escherichia coli to long-chain fatty acids and use of fatty acid inducible promoter in protein production.	2008	J Biomed Biotechnol	Han MJ, Lee JW, Lee SY, Yoo JS
18723842	Lysine acetylation is a highly abundant and evolutionarily conserved modification in Escherichia coli.	2009	Mol Cell Proteomics	Zhang J, Sprung R, Pei J, Tan X, Kim S, Zhu H, Liu CF, Grishin NV, Zhao Y
18789529	Transport pathways for arsenic and selenium: a minireview.	2009	Environ Int	Rosen BP, Liu Z
18807027	Identifying Escherichia coli genes involved in intrinsic multidrug resistance.	2008	Appl Microbiol Biotechnol	Duo M, Hou S, Ren D
19909729	Toxins Hha and CspD and small RNA regulator Hfq are involved in persister cell formation through MqsR in Escherichia coli.	2010	Biochem Biophys Res Commun	Kim Y, Wood TK
20974141	Comparing system-specific chaperone interactions with their Tat dependent redox enzyme substrates.	2010	FEBS Lett	Chan CS, Chang L, Winstone TM, Turner RJ
825019	Glycerol dissimilation and its regulation in bacteria.	1976	Annu Rev Microbiol	Lin EC
1348692	Conserved immunoglobulin-like features in a family of periplasmic pilus chaperones in bacteria.	1992	EMBO J	Holmgren A, Kuehn MJ, Brändén CI, Hultgren SJ
